tile_id,row_type,row_id,row_pos,plant_id,plant_coord,plant_x,plant_y,plant_height
1_0,Y,1,-39.345536346435544,17,-4.42428,-4.42428,-39.345536346435544,1.0992920136873563
1_0,Y,1,-39.345536346435544,12,-6.0727034,-6.0727034,-39.345536346435544,1.0697546325691856
1_0,Y,1,-39.345536346435544,15,-5.2634773,-5.2634773,-39.345536346435544,1.0685264544628383
1_0,Y,2,-38.575665588378904,14,-4.941613,-4.941613,-38.575665588378904,1.0644144424294848
1_0,Y,1,-39.345536346435544,8,-7.441394,-7.441394,-39.345536346435544,1.0575547903967122
1_0,Y,1,-39.345536346435544,16,-5.0636687,-5.0636687,-39.345536346435544,1.0533548065851415
1_0,Y,1,-39.345536346435544,9,-7.1516714,-7.1516714,-39.345536346435544,1.051985055775316
1_0,Y,1,-39.345536346435544,2,-9.019884,-9.019884,-39.345536346435544,1.051801572319337
1_0,Y,1,-39.345536346435544,13,-5.8029613,-5.8029613,-39.345536346435544,1.0423627766676595
1_0,Y,1,-39.345536346435544,10,-6.901911,-6.901911,-39.345536346435544,1.0403586867631378
1_0,Y,1,-39.345536346435544,6,-7.9608974,-7.9608974,-39.345536346435544,1.038256616818285
1_0,Y,1,-39.345536346435544,14,-5.6031528,-5.6031528,-39.345536346435544,1.0380427958345824
1_0,Y,2,-38.575665588378904,10,-6.30015,-6.30015,-38.575665588378904,1.0005316061416867
1_0,Y,2,-38.575665588378904,8,-7.4589024,-7.4589024,-38.575665588378904,0.992198817121707
1_0,Y,1,-39.345536346435544,4,-8.46042,-8.46042,-39.345536346435544,0.9913947337532505
1_0,Y,3,-37.745804901123044,9,-7.7904377,-7.7904377,-37.745804901123044,0.9862701691310565
1_0,Y,2,-38.575665588378904,3,-9.1770525,-9.1770525,-38.575665588378904,0.9837995855297144
1_0,Y,2,-38.575665588378904,15,-4.6818924,-4.6818924,-38.575665588378904,0.9796911315694212
1_0,Y,3,-37.745804901123044,11,-7.270938,-7.270938,-37.745804901123044,0.9792546146415494
1_0,Y,2,-38.575665588378904,12,-5.670828,-5.670828,-38.575665588378904,0.9734689817748219
1_0,Y,3,-37.745804901123044,13,-6.28189,-6.28189,-37.745804901123044,0.9683832544512079
1_0,Y,1,-39.345536346435544,3,-8.760133,-8.760133,-39.345536346435544,0.967180166287783
1_0,Y,1,-39.345536346435544,5,-8.160706,-8.160706,-39.345536346435544,0.9660597001261088
1_0,Y,3,-37.745804901123044,7,-8.170073,-8.170073,-37.745804901123044,0.9577425242292648
1_0,Y,3,-37.745804901123044,15,-5.6125345,-5.6125345,-37.745804901123044,0.9566641579285133
1_0,Y,3,-37.745804901123044,18,-4.403698,-4.403698,-37.745804901123044,0.9547946548460025
1_0,Y,4,-37.06591903686523,17,-4.4326215,-4.4326215,-37.06591903686523,0.9505484590735411
1_0,Y,2,-38.575665588378904,13,-5.331193,-5.331193,-38.575665588378904,0.950233440562581
1_0,Y,2,-38.575665588378904,6,-7.908418,-7.908418,-38.575665588378904,0.9472114199227314
1_0,Y,3,-37.745804901123044,5,-8.999273,-8.999273,-37.745804901123044,0.9433495558104605
1_0,Y,3,-37.745804901123044,8,-7.9602737,-7.9602737,-37.745804901123044,0.9392147746266344
1_0,Y,2,-38.575665588378904,7,-7.6387086,-7.6387086,-38.575665588378904,0.936098033888602
1_0,Y,2,-38.575665588378904,5,-8.1681385,-8.1681385,-38.575665588378904,0.9355557562849806
1_0,Y,1,-39.345536346435544,11,-6.5422544,-6.5422544,-39.345536346435544,0.9349043519616823
1_0,Y,22,-22.51836120605469,49,-7.233842,-7.233842,-22.51836120605469,0.9348809422702595
1_0,Y,23,-21.748490447998048,48,-7.173607,-7.173607,-21.748490447998048,0.933497568737578
1_0,Y,1,-39.345536346435544,7,-7.641203,-7.641203,-39.345536346435544,0.9303798091502563
1_0,Y,3,-37.745804901123044,6,-8.739523,-8.739523,-37.745804901123044,0.9287143225615375
1_0,Y,3,-37.745804901123044,10,-7.5906296,-7.5906296,-37.745804901123044,0.928511295560375
1_0,Y,4,-37.06591903686523,16,-4.6824594,-4.6824594,-37.06591903686523,0.9228225933062759
1_0,Y,3,-37.745804901123044,16,-5.0930347,-5.0930347,-37.745804901123044,0.9203934806360077
1_0,Y,4,-37.06591903686523,9,-7.190833,-7.190833,-37.06591903686523,0.919730595376521
1_0,Y,3,-37.745804901123044,17,-4.843275,-4.843275,-37.745804901123044,0.9193196571122104
1_0,Y,2,-38.575665588378904,9,-6.7796335,-6.7796335,-38.575665588378904,0.9156926301682123
1_0,Y,19,-24.82797348022461,54,-4.6627083,-4.6627083,-24.82797348022461,0.9149775859273716
1_0,Y,22,-22.51836120605469,50,-7.043867,-7.043867,-22.51836120605469,0.9140674238691014
1_0,Y,3,-37.745804901123044,2,-9.658639,-9.658639,-37.745804901123044,0.9122073007419791
1_0,Y,4,-37.06591903686523,11,-6.6212025,-6.6212025,-37.06591903686523,0.9089255910456072
1_0,Y,19,-24.82797348022461,52,-5.142684,-5.142684,-24.82797348022461,0.9088476049515712
1_0,Y,22,-22.51836120605469,48,-7.7537746,-7.7537746,-22.51836120605469,0.9081022759348871
1_0,Y,19,-24.82797348022461,42,-8.742504,-8.742504,-24.82797348022461,0.9073972092604674
1_0,Y,23,-21.748490447998048,56,-4.853943,-4.853943,-21.748490447998048,0.901814665907038
1_0,Y,22,-22.51836120605469,47,-8.053736,-8.053736,-22.51836120605469,0.9002359438828269
1_0,Y,20,-24.02810775756836,51,-4.555361,-4.555361,-24.02810775756836,0.8993188378113693
1_0,Y,3,-37.745804901123044,14,-6.052111,-6.052111,-37.745804901123044,0.8975454548244552
1_0,Y,2,-38.575665588378904,11,-6.010462,-6.010462,-38.575665588378904,0.8956111542525759
1_0,Y,23,-21.748490447998048,57,-4.4839954,-4.4839954,-21.748490447998048,0.8926987927638957
1_0,Y,2,-38.575665588378904,2,-9.356859,-9.356859,-38.575665588378904,0.8905547696536438
1_0,Y,16,-27.09759246826172,35,-7.9532356,-7.9532356,-27.09759246826172,0.8879249901621671
1_0,Y,4,-37.06591903686523,8,-7.38071,-7.38071,-37.06591903686523,0.8862818972603959
1_0,Y,19,-24.82797348022461,43,-8.382523,-8.382523,-24.82797348022461,0.8851141549551454
