tile_id,row_type,row_id,row_pos,plant_id,plant_coord,plant_x,plant_y,plant_height
2_0,Y,5,-27.039017791748048,35,8.882506,8.882506,-27.039017791748048,0.9980670030322355
2_0,Y,11,-22.449788208007813,16,1.1090751,1.1090751,-22.449788208007813,0.9905133656273488
2_0,Y,8,-24.73940383911133,1,-3.7227917,-3.7227917,-24.73940383911133,0.9742832000874051
2_0,Y,12,-21.689915771484376,60,15.626184,15.626184,-21.689915771484376,0.97326234546516
2_0,Y,12,-21.689915771484376,23,3.327846,3.327846,-21.689915771484376,0.9669737491313859
2_0,Y,11,-22.449788208007813,40,9.365853,9.365853,-22.449788208007813,0.9612203005000262
2_0,Y,5,-27.039017791748048,18,2.6349134,2.6349134,-27.039017791748048,0.9603684022150973
2_0,Y,11,-22.449788208007813,10,-1.1000628,-1.1000628,-22.449788208007813,0.949550379591493
2_0,Y,12,-21.689915771484376,45,10.006945,10.006945,-21.689915771484376,0.9484882455142791
2_0,Y,9,-23.989529724121095,20,2.157862,2.157862,-23.989529724121095,0.9471579404244143
2_0,Y,8,-24.73940383911133,58,15.381476,15.381476,-24.73940383911133,0.9465325866958229
2_0,Y,7,-25.529271240234376,30,7.646977,7.646977,-25.529271240234376,0.9458761188371785
2_0,Y,2,-29.358628387451173,48,10.295741,10.295741,-29.358628387451173,0.9451839946866517
2_0,Y,11,-22.449788208007813,56,14.183973,14.183973,-22.449788208007813,0.9416315461838529
2_0,Y,10,-23.219658966064454,56,15.52165,15.52165,-23.219658966064454,0.9414206550598355
2_0,Y,11,-22.449788208007813,60,15.223567,15.223567,-22.449788208007813,0.9412805934112576
2_0,Y,1,-30.128499145507813,55,14.112251,14.112251,-30.128499145507813,0.9402918313096315
2_0,Y,1,-30.128499145507813,40,8.42359,8.42359,-30.128499145507813,0.9398324955590188
2_0,Y,11,-22.449788208007813,59,14.913688,14.913688,-22.449788208007813,0.9364004160383576
2_0,Y,12,-21.689915771484376,57,14.146384,14.146384,-21.689915771484376,0.9363625880847698
2_0,Y,12,-21.689915771484376,59,15.326225,15.326225,-21.689915771484376,0.9334947353040769
2_0,Y,5,-27.039017791748048,36,9.042445,9.042445,-27.039017791748048,0.9333639802362391
2_0,Y,11,-22.449788208007813,34,7.716497,7.716497,-22.449788208007813,0.931775431939373
2_0,Y,8,-24.73940383911133,12,0.09606242,0.09606242,-24.73940383911133,0.9316023665467227
2_0,Y,11,-22.449788208007813,17,1.3489816,1.3489816,-22.449788208007813,0.9299697095443624
2_0,Y,11,-22.449788208007813,6,-2.3695674,-2.3695674,-22.449788208007813,0.9283650327562409
2_0,Y,12,-21.689915771484376,38,7.8572345,7.8572345,-21.689915771484376,0.9283357099910949
2_0,Y,8,-24.73940383911133,2,-3.1429658,-3.1429658,-24.73940383911133,0.9278458866291428
2_0,Y,11,-22.449788208007813,37,8.326259,8.326259,-22.449788208007813,0.9264015942696006
2_0,Y,12,-21.689915771484376,37,7.637264,7.637264,-21.689915771484376,0.9257837006194192
2_0,Y,9,-23.989529724121095,12,-0.5515014,-0.5515014,-23.989529724121095,0.9248388300512235
2_0,Y,1,-30.128499145507813,53,13.802324,13.802324,-30.128499145507813,0.9248232649919375
2_0,Y,9,-23.989529724121095,19,1.777951,1.777951,-23.989529724121095,0.9248100352941712
2_0,Y,8,-24.73940383911133,22,3.6749883,3.6749883,-24.73940383911133,0.9248030988492772
2_0,Y,10,-23.219658966064454,50,13.692355,13.692355,-23.219658966064454,0.924032106100238
2_0,Y,10,-23.219658966064454,52,14.56202,14.56202,-23.219658966064454,0.9237602390341224
2_0,Y,11,-22.449788208007813,33,7.4166136,7.4166136,-22.449788208007813,0.9231002635291242
2_0,Y,9,-23.989529724121095,52,12.935328,12.935328,-23.989529724121095,0.9224044525311044
2_0,Y,12,-21.689915771484376,40,8.6271305,8.6271305,-21.689915771484376,0.9197283752125089
2_0,Y,11,-22.449788208007813,28,5.2574563,5.2574563,-22.449788208007813,0.9184744194104681
2_0,Y,3,-28.57875930786133,39,9.377235,9.377235,-28.57875930786133,0.9181233199460422
2_0,Y,8,-24.73940383911133,11,-0.083883524,-0.083883524,-24.73940383911133,0.9167383793817628
2_0,Y,10,-23.219658966064454,33,7.5947037,7.5947037,-23.219658966064454,0.9157948789322696
2_0,Y,12,-21.689915771484376,5,-3.0712895,-3.0712895,-21.689915771484376,0.9157178098194642
2_0,Y,7,-25.529271240234376,20,4.827118,4.827118,-25.529271240234376,0.9149418306474629
2_0,Y,10,-23.219658966064454,53,14.791932,14.791932,-23.219658966064454,0.9145179846202964
2_0,Y,11,-22.449788208007813,55,13.884089,13.884089,-22.449788208007813,0.9132415693452661
2_0,Y,5,-27.039017791748048,23,4.3742433,4.3742433,-27.039017791748048,0.9130852530981051
2_0,Y,12,-21.689915771484376,50,12.116659,12.116659,-21.689915771484376,0.9123740530884856
2_0,Y,11,-22.449788208007813,8,-1.519899,-1.519899,-22.449788208007813,0.9123183504429577
2_0,Y,8,-24.73940383911133,16,1.7555645,1.7555645,-24.73940383911133,0.9120203911939657
2_0,Y,12,-21.689915771484376,42,9.327036,9.327036,-21.689915771484376,0.9116313508515623
2_0,Y,2,-29.358628387451173,33,4.806921,4.806921,-29.358628387451173,0.911378433874642
2_0,Y,3,-28.57875930786133,53,14.577184,14.577184,-28.57875930786133,0.9112362795687483
2_0,Y,11,-22.449788208007813,61,15.483466,15.483466,-22.449788208007813,0.910100387838826
2_0,Y,11,-22.449788208007813,38,8.696115,8.696115,-22.449788208007813,0.9095962073368149
2_0,Y,9,-23.989529724121095,33,7.0967007,7.0967007,-23.989529724121095,0.9086960075686402
2_0,Y,12,-21.689915771484376,15,0.29825544,0.29825544,-21.689915771484376,0.9082577829974005
2_0,Y,6,-26.299141998291017,36,8.185224,8.185224,-26.299141998291017,0.9080658480310418
2_0,Y,7,-25.529271240234376,14,2.5272326,2.5272326,-25.529271240234376,0.9079741957397103
2_0,Y,3,-28.57875930786133,41,9.807231,9.807231,-28.57875930786133,0.9078646465565667
2_0,Y,9,-23.989529724121095,3,-3.730754,-3.730754,-23.989529724121095,0.9073828557453297
2_0,Y,5,-27.039017791748048,7,-1.7434002,-1.7434002,-27.039017791748048,0.906759016479616
2_0,Y,12,-21.689915771484376,12,-0.61162174,-0.61162174,-21.689915771484376,0.9065001442604237
2_0,Y,1,-30.128499145507813,46,10.903007,10.903007,-30.128499145507813,0.9063516405731198
2_0,Y,4,-27.788891906738282,48,11.766263,11.766263,-27.788891906738282,0.9063144561891674
2_0,Y,12,-21.689915771484376,44,9.646992,9.646992,-21.689915771484376,0.9049293297905857
2_0,Y,12,-21.689915771484376,16,0.6182122,0.6182122,-21.689915771484376,0.9043351593810092
2_0,Y,11,-22.449788208007813,31,6.5669456,6.5669456,-22.449788208007813,0.9035378862719499
2_0,Y,12,-21.689915771484376,10,-1.2115407,-1.2115407,-21.689915771484376,0.9035137987243067
2_0,Y,8,-24.73940383911133,33,7.003989,7.003989,-24.73940383911133,0.9030438996668013
2_0,Y,4,-27.788891906738282,58,14.775586,14.775586,-27.788891906738282,0.9030025799410131
2_0,Y,11,-22.449788208007813,45,11.1151705,11.1151705,-22.449788208007813,0.9028319570748286
2_0,Y,11,-22.449788208007813,36,8.166321,8.166321,-22.449788208007813,0.9027918278963594
2_0,Y,10,-23.219658966064454,14,0.3075106,0.3075106,-23.219658966064454,0.9027572407322269
2_0,Y,7,-25.529271240234376,19,4.3471417,4.3471417,-25.529271240234376,0.9027162836739915
2_0,Y,9,-23.989529724121095,8,-1.9911629,-1.9911629,-23.989529724121095,0.902059427301066
2_0,Y,1,-30.128499145507813,22,2.7249298,2.7249298,-30.128499145507813,0.9016639392784792
2_0,Y,12,-21.689915771484376,47,10.826834,10.826834,-21.689915771484376,0.8989875954997539
2_0,Y,11,-22.449788208007813,39,8.976006,8.976006,-22.449788208007813,0.8989266830628078
2_0,Y,4,-27.788891906738282,35,8.1170845,8.1170845,-27.788891906738282,0.8984823799182737
2_0,Y,10,-23.219658966064454,25,4.675828,4.675828,-23.219658966064454,0.8983145694563668
2_0,Y,4,-27.788891906738282,42,10.136631,10.136631,-27.788891906738282,0.8978425336588443
2_0,Y,5,-27.039017791748048,55,15.190078,15.190078,-27.039017791748048,0.8977014236356607
2_0,Y,8,-24.73940383911133,42,9.923114,9.923114,-24.73940383911133,0.8971401617670192
2_0,Y,8,-24.73940383911133,37,8.343587,8.343587,-24.73940383911133,0.8970619173357818
2_0,Y,11,-22.449788208007813,42,9.925634,9.925634,-22.449788208007813,0.897013588487117
2_0,Y,11,-22.449788208007813,35,7.9064226,7.9064226,-22.449788208007813,0.8958101754245565
2_0,Y,11,-22.449788208007813,15,0.8891609,0.8891609,-22.449788208007813,0.8952510297022019
