tile_id,row_type,row_id,row_pos,plant_id,plant_coord,plant_x,plant_y,plant_height
3_0,Y,1,-40.08133422851562,27,25.98613,25.98613,-40.08133422851562,1.3377780569235376
3_0,Y,1,-40.08133422851562,29,27.015755,27.015755,-40.08133422851562,1.3246055454644556
3_0,Y,7,-35.39212142944336,48,33.51139,33.51139,-35.39212142944336,1.3188306923490196
3_0,Y,1,-40.08133422851562,28,26.625896,26.625896,-40.08133422851562,1.297237949033411
3_0,Y,8,-34.60225402832031,53,33.985615,33.985615,-34.60225402832031,1.2944257163645378
3_0,Y,1,-40.08133422851562,7,18.308933,18.308933,-40.08133422851562,1.289550164474526
3_0,Y,7,-35.39212142944336,50,34.3012,34.3012,-35.39212142944336,1.284801091572051
3_0,Y,8,-34.60225402832031,54,34.30557,34.30557,-34.60225402832031,1.2782113594680733
3_0,Y,8,-34.60225402832031,55,34.845493,34.845493,-34.60225402832031,1.2742299715874732
3_0,Y,1,-40.08133422851562,21,23.956871,23.956871,-40.08133422851562,1.2707883272017397
3_0,Y,8,-34.60225402832031,56,35.08546,35.08546,-34.60225402832031,1.2556638286071236
3_0,Y,8,-34.60225402832031,50,32.535816,32.535816,-34.60225402832031,1.2540892327716098
3_0,Y,8,-34.60225402832031,52,33.49568,33.49568,-34.60225402832031,1.253012202913533
3_0,Y,1,-40.08133422851562,25,25.226406,25.226406,-40.08133422851562,1.2500161479252556
3_0,Y,9,-33.83238327026367,44,31.07576,31.07576,-33.83238327026367,1.2463904944485606
3_0,Y,9,-33.83238327026367,45,31.44572,31.44572,-33.83238327026367,1.2430359432041358
3_0,Y,9,-33.83238327026367,43,30.865782,30.865782,-33.83238327026367,1.2381944803396598
3_0,Y,2,-39.30146514892578,27,24.838049,24.838049,-39.30146514892578,1.2370882708145399
3_0,Y,9,-33.83238327026367,36,28.546026,28.546026,-33.83238327026367,1.2365667841249535
3_0,Y,1,-40.08133422851562,20,23.257126,23.257126,-40.08133422851562,1.232781715519463
3_0,Y,9,-33.83238327026367,50,32.78558,32.78558,-33.83238327026367,1.2294910679773419
3_0,Y,2,-39.30146514892578,26,24.338089,24.338089,-39.30146514892578,1.2290720082014313
3_0,Y,10,-33.082509155273435,40,30.447151,30.447151,-33.082509155273435,1.228639236749794
3_0,Y,7,-35.39212142944336,47,33.041504,33.041504,-35.39212142944336,1.2284809086470314
3_0,Y,4,-37.68173706054687,33,28.53334,28.53334,-37.68173706054687,1.2277972913133168
3_0,Y,7,-35.39212142944336,51,34.881058,34.881058,-35.39212142944336,1.2276854053597315
3_0,Y,7,-35.39212142944336,49,34.04126,34.04126,-35.39212142944336,1.2260531960169603
3_0,Y,11,-32.32263671875,46,31.21728,31.21728,-32.32263671875,1.2253467493183166
3_0,Y,1,-40.08133422851562,8,18.838737,18.838737,-40.08133422851562,1.2252352887989444
3_0,Y,9,-33.83238327026367,40,29.7359,29.7359,-33.83238327026367,1.2241830598401156
3_0,Y,1,-40.08133422851562,32,28.405247,28.405247,-40.08133422851562,1.2234889906302193
3_0,Y,1,-40.08133422851562,23,24.526663,24.526663,-40.08133422851562,1.2233010704545846
3_0,Y,1,-40.08133422851562,26,25.536293,25.536293,-40.08133422851562,1.220966668491137
3_0,Y,1,-40.08133422851562,16,22.307472,22.307472,-40.08133422851562,1.2206982872257688
3_0,Y,1,-40.08133422851562,6,18.01904,18.01904,-40.08133422851562,1.2198943459350204
3_0,Y,9,-33.83238327026367,52,33.74548,33.74548,-33.83238327026367,1.2162255449227668
3_0,Y,5,-36.85187637329101,35,27.005781,27.005781,-36.85187637329101,1.2122717486865946
3_0,Y,1,-40.08133422851562,31,27.90543,27.90543,-40.08133422851562,1.206779860205748
3_0,Y,7,-35.39212142944336,46,32.6416,32.6416,-35.39212142944336,1.2061893524044187
3_0,Y,9,-33.83238327026367,53,33.995453,33.995453,-33.83238327026367,1.206056551973493
3_0,Y,1,-40.08133422851562,22,24.356724,24.356724,-40.08133422851562,1.2022012642268425
3_0,Y,8,-34.60225402832031,39,29.546236,29.546236,-34.60225402832031,1.2015772276816516
3_0,Y,11,-32.32263671875,43,30.107431,30.107431,-32.32263671875,1.2009329445214794
3_0,Y,8,-34.60225402832031,23,23.857033,23.857033,-34.60225402832031,1.2009258347988339
3_0,Y,2,-39.30146514892578,29,25.418003,25.418003,-39.30146514892578,1.2005031951549712
3_0,Y,9,-33.83238327026367,54,34.22543,34.22543,-33.83238327026367,1.200205228824922
3_0,Y,7,-35.39212142944336,39,30.372145,30.372145,-35.39212142944336,1.1999632063147503
3_0,Y,8,-34.60225402832031,36,28.596369,28.596369,-34.60225402832031,1.1987406402222105
3_0,Y,4,-37.68173706054687,30,27.343903,27.343903,-37.68173706054687,1.197783366739601
3_0,Y,8,-34.60225402832031,32,27.01659,27.01659,-34.60225402832031,1.197299293077639
3_0,Y,3,-38.43161117553711,30,27.562492,27.562492,-38.43161117553711,1.1971667606969245
3_0,Y,7,-35.39212142944336,25,24.983444,24.983444,-35.39212142944336,1.1939899929023556
3_0,Y,2,-39.30146514892578,37,28.317772,28.317772,-39.30146514892578,1.1935744983478862
3_0,Y,2,-39.30146514892578,35,27.547834,27.547834,-39.30146514892578,1.1933346615940001
3_0,Y,9,-33.83238327026367,51,33.125546,33.125546,-33.83238327026367,1.1924286427499078
3_0,Y,10,-33.082509155273435,46,33.387104,33.387104,-33.082509155273435,1.1921338301146223
3_0,Y,9,-33.83238327026367,55,34.765373,34.765373,-33.83238327026367,1.1916175702528846
3_0,Y,4,-37.68173706054687,20,23.245834,23.245834,-37.68173706054687,1.190800616007241
3_0,Y,8,-34.60225402832031,24,24.02701,24.02701,-34.60225402832031,1.1902154034821844
3_0,Y,8,-34.60225402832031,51,32.78578,32.78578,-34.60225402832031,1.1881716839542338
3_0,Y,11,-32.32263671875,51,32.607094,32.607094,-32.32263671875,1.188110163087202
3_0,Y,1,-40.08133422851562,17,22.527393,22.527393,-40.08133422851562,1.1865107010531715
3_0,Y,1,-40.08133422851562,11,20.328194,20.328194,-40.08133422851562,1.1863457237403812
3_0,Y,10,-33.082509155273435,42,30.997143,30.997143,-33.082509155273435,1.185165801376676
3_0,Y,14,-30.01302444458008,40,28.807802,28.807802,-30.01302444458008,1.1836118535130042
3_0,Y,9,-33.83238327026367,46,31.6457,31.6457,-33.83238327026367,1.1825691279770383
3_0,Y,10,-33.082509155273435,37,29.75716,29.75716,-33.082509155273435,1.1821412497092882
3_0,Y,9,-33.83238327026367,58,35.515293,35.515293,-33.83238327026367,1.1816921458528027
3_0,Y,9,-33.83238327026367,23,23.966507,23.966507,-33.83238327026367,1.1816338842404726
3_0,Y,8,-34.60225402832031,40,29.846193,29.846193,-34.60225402832031,1.1804613470171117
3_0,Y,9,-33.83238327026367,31,26.746214,26.746214,-33.83238327026367,1.1800736665725844
3_0,Y,9,-33.83238327026367,26,25.416355,25.416355,-33.83238327026367,1.1787378135794737
3_0,Y,1,-40.08133422851562,19,22.857273,22.857273,-40.08133422851562,1.178425711616697
3_0,Y,7,-35.39212142944336,43,31.43189,31.43189,-35.39212142944336,1.1772187492643833
3_0,Y,2,-39.30146514892578,28,25.158024,25.158024,-39.30146514892578,1.176409316839128
3_0,Y,9,-33.83238327026367,47,31.84568,31.84568,-33.83238327026367,1.17541349141618
3_0,Y,1,-40.08133422851562,3,16.769493,16.769493,-40.08133422851562,1.174752267631737
3_0,Y,9,-33.83238327026367,49,32.5956,32.5956,-33.83238327026367,1.173418071844855
3_0,Y,7,-35.39212142944336,52,35.25097,35.25097,-35.39212142944336,1.173257845087027
3_0,Y,11,-32.32263671875,47,31.65722,31.65722,-32.32263671875,1.1732245816534914
3_0,Y,8,-34.60225402832031,33,27.486525,27.486525,-34.60225402832031,1.1729962040552266
3_0,Y,7,-35.39212142944336,44,31.671833,31.671833,-35.39212142944336,1.1721318880225184
3_0,Y,9,-33.83238327026367,25,25.146383,25.146383,-33.83238327026367,1.1721054727329028
3_0,Y,7,-35.39212142944336,32,27.70279,27.70279,-35.39212142944336,1.171854369070461
3_0,Y,9,-33.83238327026367,48,32.185642,32.185642,-33.83238327026367,1.1716628370629925
3_0,Y,5,-36.85187637329101,39,28.285316,28.285316,-36.85187637329101,1.1711066851312226
3_0,Y,8,-34.60225402832031,49,32.295853,32.295853,-34.60225402832031,1.1707547919606236
3_0,Y,9,-33.83238327026367,57,35.315315,35.315315,-33.83238327026367,1.1706371181247472
3_0,Y,3,-38.43161117553711,31,27.782368,27.782368,-38.43161117553711,1.1705550349001388
3_0,Y,11,-32.32263671875,44,30.447386,30.447386,-32.32263671875,1.1689658045723397
3_0,Y,12,-31.542767639160157,36,27.297703,27.297703,-31.542767639160157,1.1658194117986584
3_0,Y,9,-33.83238327026367,24,24.616438,24.616438,-33.83238327026367,1.1645698753260718
3_0,Y,11,-32.32263671875,54,33.816933,33.816933,-32.32263671875,1.1640403706458728
3_0,Y,5,-36.85187637329101,41,28.99506,28.99506,-36.85187637329101,1.1635915799738827
3_0,Y,11,-32.32263671875,41,29.227549,29.227549,-32.32263671875,1.1630536572490093
3_0,Y,8,-34.60225402832031,47,31.555954,31.555954,-34.60225402832031,1.1620719870830716
3_0,Y,7,-35.39212142944336,33,28.342634,28.342634,-35.39212142944336,1.16198857485854
3_0,Y,5,-36.85187637329101,40,28.565216,28.565216,-36.85187637329101,1.1617378568177648
3_0,Y,13,-30.762898559570313,35,28.366804,28.366804,-30.762898559570313,1.1612752860533369
3_0,Y,1,-40.08133422851562,9,19.308567,19.308567,-40.08133422851562,1.161204520193343
3_0,Y,7,-35.39212142944336,41,30.782047,30.782047,-35.39212142944336,1.1611667077961942
3_0,Y,8,-34.60225402832031,28,25.606789,25.606789,-34.60225402832031,1.1611177579470298
3_0,Y,11,-32.32263671875,45,30.797338,30.797338,-32.32263671875,1.160952868753448
3_0,Y,9,-33.83238327026367,56,35.015347,35.015347,-33.83238327026367,1.1606832540940393
3_0,Y,1,-40.08133422851562,10,19.538483,19.538483,-40.08133422851562,1.1606053266660274
3_0,Y,13,-30.762898559570313,31,26.616882,26.616882,-30.762898559570313,1.1604284699252463
3_0,Y,9,-33.83238327026367,41,30.415829,30.415829,-33.83238327026367,1.1603281857459802
3_0,Y,3,-38.43161117553711,33,28.392017,28.392017,-38.43161117553711,1.1599050022641886
3_0,Y,2,-39.30146514892578,38,28.96772,28.96772,-39.30146514892578,1.1595275827178382
3_0,Y,9,-33.83238327026367,42,30.59581,30.59581,-33.83238327026367,1.1586515378973776
3_0,Y,7,-35.39212142944336,23,24.083662,24.083662,-35.39212142944336,1.1582185566458376
3_0,Y,8,-34.60225402832031,45,31.186007,31.186007,-34.60225402832031,1.1573743933199034
3_0,Y,8,-34.60225402832031,42,30.336126,30.336126,-34.60225402832031,1.1565320821943532
3_0,Y,1,-40.08133422851562,1,16.009773,16.009773,-40.08133422851562,1.1564975302352196
3_0,Y,10,-33.082509155273435,43,31.457134,31.457134,-33.082509155273435,1.1558530391688444
3_0,Y,14,-30.01302444458008,30,25.13872,25.13872,-30.01302444458008,1.1537847653635969
3_0,Y,11,-32.32263671875,42,29.497513,29.497513,-32.32263671875,1.1535219741750895
3_0,Y,11,-32.32263671875,52,33.137024,33.137024,-32.32263671875,1.15260148628507
3_0,Y,7,-35.39212142944336,34,29.02247,29.02247,-35.39212142944336,1.1521979986771176
3_0,Y,1,-40.08133422851562,33,28.94505,28.94505,-40.08133422851562,1.1507757493392863
3_0,Y,11,-32.32263671875,38,27.95772,27.95772,-32.32263671875,1.149317110543914
3_0,Y,10,-33.082509155273435,51,35.357075,35.357075,-33.082509155273435,1.1490091331923573
3_0,Y,11,-32.32263671875,55,34.126884,34.126884,-32.32263671875,1.1469124906544081
3_0,Y,9,-33.83238327026367,37,29.065971,29.065971,-33.83238327026367,1.1452240807992609
3_0,Y,9,-33.83238327026367,39,29.55592,29.55592,-33.83238327026367,1.1447097904227836
3_0,Y,10,-33.082509155273435,26,25.87722,25.87722,-33.082509155273435,1.1441635423969476
3_0,Y,8,-34.60225402832031,37,28.836336,28.836336,-34.60225402832031,1.1436875038529455
3_0,Y,11,-32.32263671875,40,28.737616,28.737616,-32.32263671875,1.1433775322123882
3_0,Y,1,-40.08133422851562,5,17.529217,17.529217,-40.08133422851562,1.1432179703140237
3_0,Y,12,-31.542767639160157,31,25.12856,25.12856,-31.542767639160157,1.1421336757246876
3_0,Y,8,-34.60225402832031,27,24.966879,24.966879,-34.60225402832031,1.1413867808955998
3_0,Y,2,-39.30146514892578,32,26.607908,26.607908,-39.30146514892578,1.1391174506138118
3_0,Y,8,-34.60225402832031,34,27.786482,27.786482,-34.60225402832031,1.1388699984473385
3_0,Y,2,-39.30146514892578,33,26.867887,26.867887,-39.30146514892578,1.138538319964755
3_0,Y,1,-40.08133422851562,2,16.469604,16.469604,-40.08133422851562,1.138220403947802
3_0,Y,2,-39.30146514892578,30,25.757977,25.757977,-39.30146514892578,1.13768384105608
3_0,Y,7,-35.39212142944336,42,31.06198,31.06198,-35.39212142944336,1.1370283939287955
3_0,Y,1,-40.08133422851562,12,20.748043,20.748043,-40.08133422851562,1.136891158389437
3_0,Y,9,-33.83238327026367,35,27.74611,27.74611,-33.83238327026367,1.1366720949819986
3_0,Y,8,-34.60225402832031,25,24.23698,24.23698,-34.60225402832031,1.136515338014681
3_0,Y,10,-33.082509155273435,30,27.1072,27.1072,-33.082509155273435,1.1357161664870297
3_0,Y,7,-35.39212142944336,53,35.490913,35.490913,-35.39212142944336,1.1354813479040173
3_0,Y,10,-33.082509155273435,49,34.767086,34.767086,-33.082509155273435,1.1349084750642928
3_0,Y,10,-33.082509155273435,50,34.927082,34.927082,-33.082509155273435,1.1346651722295746
3_0,Y,5,-36.85187637329101,30,24.94653,24.94653,-36.85187637329101,1.1340561052963125
3_0,Y,5,-36.85187637329101,34,26.695894,26.695894,-36.85187637329101,1.1333296985600068
3_0,Y,2,-39.30146514892578,14,19.938438,19.938438,-39.30146514892578,1.1327937451667078
3_0,Y,8,-34.60225402832031,48,31.995893,31.995893,-34.60225402832031,1.132763175364931
3_0,Y,3,-38.43161117553711,34,28.91172,28.91172,-38.43161117553711,1.1316833874750858
3_0,Y,11,-32.32263671875,48,31.8172,31.8172,-32.32263671875,1.1315616604370615
3_0,Y,9,-33.83238327026367,27,25.826311,25.826311,-33.83238327026367,1.130363932429728
3_0,Y,12,-31.542767639160157,45,30.556416,30.556416,-31.542767639160157,1.1302571410139768
3_0,Y,12,-31.542767639160157,39,28.237331,28.237331,-31.542767639160157,1.1299664473060544
3_0,Y,8,-34.60225402832031,46,31.355982,31.355982,-34.60225402832031,1.1299105023561076
3_0,Y,8,-34.60225402832031,22,23.607069,23.607069,-34.60225402832031,1.1299026694276362
3_0,Y,4,-37.68173706054687,31,27.58379,27.58379,-37.68173706054687,1.1282676123458757
3_0,Y,2,-39.30146514892578,17,20.538391,20.538391,-39.30146514892578,1.1277489338344098
3_0,Y,7,-35.39212142944336,38,30.112207,30.112207,-35.39212142944336,1.127286741701439
3_0,Y,8,-34.60225402832031,35,28.116436,28.116436,-34.60225402832031,1.1272683200733518
3_0,Y,8,-34.60225402832031,43,30.646082,30.646082,-34.60225402832031,1.1270684465541008
3_0,Y,10,-33.082509155273435,45,32.807114,32.807114,-33.082509155273435,1.1264728709178795
3_0,Y,1,-40.08133422851562,24,24.896526,24.896526,-40.08133422851562,1.1264127128555954
3_0,Y,8,-34.60225402832031,44,30.986034,30.986034,-34.60225402832031,1.1263616221460986
3_0,Y,10,-33.082509155273435,22,24.697237,24.697237,-33.082509155273435,1.124570291787733
3_0,Y,9,-33.83238327026367,21,23.006607,23.006607,-33.83238327026367,1.1240306654912282
3_0,Y,9,-33.83238327026367,34,27.53613,27.53613,-33.83238327026367,1.1228536003809337
3_0,Y,8,-34.60225402832031,26,24.466948,24.466948,-34.60225402832031,1.1225116772882127
3_0,Y,10,-33.082509155273435,44,31.967127,31.967127,-33.082509155273435,1.1221832001028664
